Agency,Award ID,Recipient Name,Federal Action Obligation,Action Date,Modification,Product/Service Description,NAICS Description,Transaction Description,Generated Award ID
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,29858818.4,2023-09-27,P00016,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE SAN DIEGO SSF OPTION PERIOD ADD FUNDING FOR FOOD AND CAPACITY FEES EXTEND PERFORMANCE PERIOD FOR EL PASO SSF.,CONT_AWD_70B01C23F00000067_7014_70RDAD21A00000012_7001
CBP,70B01C22F00000406,DEPLOYED RESOURCES LLC,29504510.9,2023-09-15,P00012,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",NORTH EAGLE PASS EXERCISE OPTIONS,CONT_AWD_70B01C22F00000406_7014_70B01C21A00000002_7014
CBP,70B01C22F00000721,DEPLOYED RESOURCES LLC,29100362.0,2023-09-18,P00012,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",TUCSON SOFT SIDE FACILITY EXERCISE OPTIONS,CONT_AWD_70B01C22F00000721_7014_70B01C21A00000002_7014
CBP,70B02C20C00000024,NORTHROP GRUMMAN SYSTEMS CORPORATION,28781098.64,2023-03-14,P00022,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,AIRCRAFT MANUFACTURING,P-3 AIRCRAFT MAINTENANCE CONTRACT,CONT_AWD_70B02C20C00000024_7014_-NONE-_-NONE-
CBP,70B02C20C00000024,NORTHROP GRUMMAN SYSTEMS CORPORATION,28640308.46,2023-06-08,P00023,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,AIRCRAFT MANUFACTURING,P-3 AIRCRAFT MAINTENANCE,CONT_AWD_70B02C20C00000024_7014_-NONE-_-NONE-
CBP,70B02C23C00000124,"SIERRA NEVADA COMPANY, LLC",28020752.24,2023-09-28,0,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,AIRCRAFT MANUFACTURING,FOLLOW ON AWARD CONTRACT FOR AIRCRAFT MODIFICATIONS,CONT_AWD_70B02C23C00000124_7014_-NONE-_-NONE-
CBP,70B03C23F00000272,LOYAL SOURCE GOVERNMENT SERVICES LLC,27900419.32,2023-06-01,P00002,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SCREENING SERVICES,CONT_AWD_70B03C23F00000272_7014_36F79722D0185_3600
CBP,70B02C22F00001100,"SCIENCE AND ENGINEERING SERVICES, LLC",27687020.02,2023-05-31,P00001,"AIRCRAFT, FIXED WING",AIRCRAFT MANUFACTURING,"ORDER MULTIROLE ENFORCEMENT AIRCRAFT #2, TRAINING, INITIAL SPARES, AND UPDATE THE PERIOD OF PERFORMANCE",CONT_AWD_70B02C22F00001100_7014_70B02C22D00000019_7014
CBP,70B02C22C00000016,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",26859689.04,2023-08-02,P00010,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,UAS OPERATIONAL AND MAINTENANCE SUPPORT,CONT_AWD_70B02C22C00000016_7014_-NONE-_-NONE-
CBP,70B03C23F00000272,LOYAL SOURCE GOVERNMENT SERVICES LLC,26291021.0,2023-06-29,P00003,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SERVICES,CONT_AWD_70B03C23F00000272_7014_36F79722D0185_3600
CBP,70B03C23F00000272,LOYAL SOURCE GOVERNMENT SERVICES LLC,25952002.67,2023-08-31,P00007,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SUPPORT SERVICES,CONT_AWD_70B03C23F00000272_7014_36F79722D0185_3600
CBP,70B03C23F00000272,LOYAL SOURCE GOVERNMENT SERVICES LLC,25394381.0,2023-07-28,P00005,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SCREENING SERVICES,CONT_AWD_70B03C23F00000272_7014_36F79722D0185_3600
CBP,70B03C22F00000336,"RANGER LAND SYSTEMS, INC.",25365460.58,2023-05-31,P00009,OPERATION OF MISCELLANEOUS BUILDINGS,FACILITIES SUPPORT SERVICES,OPTION PERIOD,CONT_AWD_70B03C22F00000336_7014_70RDAD21A00000013_7001
CBP,70B03C23F00000272,LOYAL SOURCE GOVERNMENT SERVICES LLC,24887775.2,2023-04-29,P00001,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SERVICES,CONT_AWD_70B03C23F00000272_7014_36F79722D0185_3600
CBP,70B03C23F00000272,LOYAL SOURCE GOVERNMENT SERVICES LLC,24887775.2,2023-03-30,0,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SCREENING SERVICES,CONT_AWD_70B03C23F00000272_7014_36F79722D0185_3600
CBP,70B01C23C00000142,BOREALIS ENTERPRISES LLC,24886205.66,2023-09-29,0,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,PHASE TWO DESIGN/BUILD CONTRACT FOR THE NIAGARA FALLS BORDER PATROL STATION.,CONT_AWD_70B01C23C00000142_7014_-NONE-_-NONE-
CBP,70B01C23F00000312,DEPLOYED RESOURCES LLC,24677420.0,2023-09-14,P00002,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE OPTION PERIOD (9/14/2023 - 11/12/2023).,CONT_AWD_70B01C23F00000312_7014_70RDAD21A00000012_7001
CBP,70B01C23C00000017,"MIAMI WIIPICA, LLC",23865899.64,2023-04-07,0,CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"DESIGN BUILD CONTRACT FOR A BORDER PATROL STATION IN CHAMPLAIN, NY.",CONT_AWD_70B01C23C00000017_7014_-NONE-_-NONE-
CBP,70B03C23F00000406,"TRAILBOSS ENTERPRISES, INC.",23550000.0,2023-05-01,0,TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER,FACILITIES SUPPORT SERVICES,TRANSPORTATION FOR NON-US CITIZENS,CONT_AWD_70B03C23F00000406_7014_70B03C22A00000019_7014
CBP,70B04C20F00001314,UNISSANT INC.,23435112.89,2023-08-29,P00007,"IT AND TELECOM - TELEPROCESSING, TIMESHARE, CLOUD COMPUTING, AND HIGH PERFORMANCE COMPUTING",COMPUTER SYSTEMS DESIGN SERVICES,OPTION YEAR 2,CONT_AWD_70B04C20F00001314_7014_HHSN316201200184W_7529
CBP,70B03C23F00000456,"DIGNARI, LLC",23358923.95,2023-05-17,0,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,COMPUTER FACILITIES MANAGEMENT SERVICES,"CBP IDENTITY VERIFICATION, SCREENING AND ACCESS MANAGEMENT SERVICES",CONT_AWD_70B03C23F00000456_7014_70RDAD21A00000010_7001
CBP,70B01C23C00000033,BOREALIS ENTERPRISES LLC,23283908.34,2023-05-05,0,CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"DESIGN/BUILD CONSTRUCTION NEW NIAGARA BPS, NIAGARA, NY",CONT_AWD_70B01C23C00000033_7014_-NONE-_-NONE-
CBP,70B01C22F00000952,FISHER SAND & GRAVEL CO,23225600.0,2023-04-24,P00003,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,WORK WITHIN SCOPE AND POP EXTENSION,CONT_AWD_70B01C22F00000952_7014_HSBP1017D00019_7014
CBP,70B03C23F00000430,ISS ACTION INC,22500000.0,2023-05-08,0,TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER,SECURITY GUARDS AND PATROL SERVICES,GROUND TRANSPORTATION,CONT_AWD_70B03C23F00000430_7014_70B03C19A00000040_7014
CBP,70B02C21C00000005,"AMENTUM SERVICES, INC.",22452505.0,2023-02-24,P00027,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,"AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT SERVICES - MODIFICATION ISSUED TO ADD INCREMENTAL OPTION YEAR 1 (OY1) FUNDING AND TO AUTHORIZE PAYMENT OF PERFORMANCE INCENTIVE FEE FOR OY1, 1ST QUARTER.",CONT_AWD_70B02C21C00000005_7014_-NONE-_-NONE-
CBP,70B01C23F00000312,DEPLOYED RESOURCES LLC,22277420.0,2023-07-14,0,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","ERECT/FURNISH CPC SOFT SIDED FACILITY AT LAREDO, TX",CONT_AWD_70B01C23F00000312_7014_70RDAD21A00000012_7001
CBP,70B03C23F00000298,"PRESIDENTIAL AVIATION, INC.",22094072.0,2023-04-11,0,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: AIR CHARTER,NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,CHARTER FLIGHTS,CONT_AWD_70B03C23F00000298_7014_GS33F016BA_4732
CBP,70B03C20F00001383,LOYAL SOURCE GOVERNMENT SERVICES LLC,21431306.0,2023-03-08,P00042,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SERVICES,CONT_AWD_70B03C20F00001383_7014_V797D30203_3600
CBP,70B02C22C00000016,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",21386358.0,2023-05-11,P00008,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,UAS OPERATIONAL AND MAINTENANCE SUPPORT,CONT_AWD_70B02C22C00000016_7014_-NONE-_-NONE-
CBP,70B01C23F00000070,DEPLOYED RESOURCES LLC,20948922.0,2023-03-21,P00002,LEASE OR RENTAL OF EQUIPMENT- TOILETRIES,PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING,MODIFICATION TO EXERCISE OPTION TWO.,CONT_AWD_70B01C23F00000070_7014_70B01C21A00000012_7014
CBP,70B03C22F00000740,ISS ACTION INC,20800000.0,2023-02-28,P00010,TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER,SECURITY GUARDS AND PATROL SERVICES,GROUND TRANSPORTATION AND FACILITY GUARD SERVICES,CONT_AWD_70B03C22F00000740_7014_70B03C19A00000040_7014
CBP,70B04C19F00000204,DEV TECHNOLOGY GROUP INC,20759323.87,2023-06-01,P00016,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,OTHER COMPUTER RELATED SERVICES,INCORPORATED AND FUNDED IN SCOPE ON DEMAND DEVELOPMENT AND O&M SUSTAINMENT REQUIREMENTS.,CONT_AWD_70B04C19F00000204_7014_GS35F0897R_4730
CBP,70B01C22F00000778,DEPLOYED RESOURCES LLC,19508040.0,2023-09-26,P00010,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE,CONT_AWD_70B01C22F00000778_7014_70B01C21A00000002_7014
CBP,70B04C23F00000074,ACCENTURE FEDERAL SERVICES LLC,19237688.11,2023-04-17,P00001,IT AND TELECOM - DATA CENTER SUPPORT SERVICES (LABOR),COMPUTER SYSTEMS DESIGN SERVICES,DATA CENTER SUPPORT SERVICES,CONT_AWD_70B04C23F00000074_7014_47QTCK18D0036_4732
CBP,70B04C23F00000620,AMERICAN SCIENCE & ENGINEERING INC,19115051.07,2023-09-26,P00002,"IT AND TELECOM - END USER: HELP DESK; TIER 1-2, WORKSPACE, PRINT, OUTPUT, PRODUCTIVITY TOOLS (LABOR)",OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,"OPTION PERIOD 1 WAS EXTENDED FROM DECEMBER 31, 2023 TO MAY 30, 2024 DUE TO CANCELLATION OF SOLICITATION",CONT_AWD_70B04C23F00000620_7014_70B04C18D00000016_7014
CBP,70B04C23F00000074,ACCENTURE FEDERAL SERVICES LLC,19100448.26,2023-07-19,P00002,IT AND TELECOM - DATA CENTER SUPPORT SERVICES (LABOR),COMPUTER SYSTEMS DESIGN SERVICES,DCSS OPTION PERIOD 1,CONT_AWD_70B04C23F00000074_7014_47QTCK18D0036_4732
CBP,70B02C21C00000005,"AMENTUM SERVICES, INC.",18000000.0,2023-09-29,P00039,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT SERVICES - EXERCISING OF OPTION YEAR 2 AND ISSUANCE OF OPTION YEAR INCREMENTAL FUNDS.,CONT_AWD_70B02C21C00000005_7014_-NONE-_-NONE-
CBP,70B02C19F00000017,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",17556781.36,2023-05-23,P00042,SUPPORT- PROFESSIONAL: OTHER,ENGINEERING SERVICES,P00042-MODIFICATION TO EXERCISE OY 4 AND PROVIDE FUNDING FOR THE REMAINDER OF OY 3.,CONT_AWD_70B02C19F00000017_7014_GS00Q14OADU124_4732
CBP,70B03C21F00001130,"LEIDOS, INC.",17419094.12,2023-07-17,P00003,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDING FOR CIVIL WORKS.,CONT_AWD_70B03C21F00001130_7014_70B03C21D00000004_7014
CBP,70B04C19F00000204,DEV TECHNOLOGY GROUP INC,17380098.44,2023-07-14,P00017,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,OTHER COMPUTER RELATED SERVICES,INCORPORATED AND FUNDED IN SCOPE ON DEMAND DEVELOPMENT AND O&M SUSTAINMENT REQUIREMENTS.,CONT_AWD_70B04C19F00000204_7014_GS35F0897R_4730
CBP,70B03C22F00000740,ISS ACTION INC,17265262.71,2023-05-25,P00012,TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER,SECURITY GUARDS AND PATROL SERVICES,GROUND TRANSPORTATION,CONT_AWD_70B03C22F00000740_7014_70B03C19A00000040_7014
CBP,70B03C23F00000272,LOYAL SOURCE GOVERNMENT SERVICES LLC,16621770.4,2023-09-29,P00008,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SCREENING,CONT_AWD_70B03C23F00000272_7014_36F79722D0185_3600
