Agency,Award ID,Recipient Name,Federal Action Obligation,Action Date,Modification,Product/Service Description,NAICS Description,Transaction Description
CBP,70B06C24F00000832,"MARCOM GROUP, INC",35176061.0,2024-09-26,0,SUPPORT- MANAGEMENT: ADVERTISING,PUBLIC RELATIONS AGENCIES,THIS TASK ORDER IS FOR MARKETING AND ADVERTISING RECRUITMENT SERVICES FOR CBP'S OFFICE OF HUMAN RESOURCES MANAGEMENT'S NATIONAL RECRUITMENT DIVISION.
CBP,70B01C23F00001236,"SLSCO, LTD.",34757420.12,2024-09-29,P00003,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,CONSTRUCT BARRIER WORK
CBP,70B01C22F00000721,DEPLOYED RESOURCES LLC,34084662.23,2023-12-14,P00015,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",TUCSON SOFT SIDE FACILITY OPTION
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,33616039.42,2023-12-20,P00021,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,33103503.88,2024-06-27,P00034,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EL PASO SOFT SIDE FACILITY OPTION
CBP,70B04C24F00000544,AKIRA TECHNOLOGIES INC.,31656184.08,2024-07-31,0,IT AND TELECOM - DATA CENTER PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,ORACLE SOFTWARE AND HARDWARE MAINTENANCE FOR CUSTOMS & BORDER PROTECTION
CBP,70B01C22F00000711,DEPLOYED RESOURCES LLC,30600000.0,2023-12-04,P00012,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",MODIFICATION TO EXERCISE OPTIONS 11 AND 12.
CBP,70B02C20C00000024,NORTHROP GRUMMAN SYSTEMS CORPORATION,29891923.27,2024-06-26,P00033,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,AIRCRAFT MANUFACTURING,"P-3 AIRCRAFT MAINTENANCE - DE-OBLIGATE FUNDING, ADD FUNDING, OTHER ADMIN MATTERS"
CBP,70B02C22F00001100,"SCIENCE AND ENGINEERING SERVICES, LLC",29157861.11,2024-09-05,P00003,"AIRCRAFT, FIXED WING",AIRCRAFT MANUFACTURING,ORDER MEA LI NUMBER 3 AND SPARES
CBP,70B04C24F00000739,"LEIDOS, INC.",28286725.6,2024-09-26,P00001,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,MODIFICATION FUNDING FOR ADDITIONAL SPRINTS
CBP,70B01C23F00000312,DEPLOYED RESOURCES LLC,27023714.4,2023-12-13,P00005,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE OPTION PERIOD (12/13/2023 - 02/10/2024)
CBP,70B04C24C00000102,RAPISCAN SYSTEMS INC,26907447.38,2024-09-13,0,MAINT/REPAIR/REBUILD OF EQUIPMENT- MAINTENANCE AND REPAIR SHOP EQUIPMENT,ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,NON-INTRUSIVE INSPECTION DETECTION EQUIPMENT - MAINTENANCE AND REPAIR
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,26784674.55,2024-08-02,P00036,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE
CBP,70B04C23F00001108,"LEIDOS, INC.",26441780.24,2024-06-27,P00003,IT AND TELECOM - SECURITY AND COMPLIANCE SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,TO EXERCISE THE OPTION PERIOD.
CBP,70B01C24F00000737,DEPLOYED RESOURCES LLC,26396650.0,2024-09-09,0,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",TUCSON 3 SOFT SIDE FACILITY
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,26102541.54,2024-05-30,P00005,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,EXERCISE OPTION 6 (POP: 30MAY2024 THROUGH 29JUN2024) - MEDICAL SCREENING SERVICES
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,25990293.3,2024-04-05,P00003,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MOD P00003 MEDICAL SCREENING SERVICES - EXERCISE OPTION 4.
CBP,70B01C24F00000327,DEPLOYED RESOURCES LLC,25575892.0,2024-09-27,P00001,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","EXERCISE OPTION ONE, YUMA SSF."
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,25533900.3,2023-11-30,0,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SERVICES
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,25338167.33,2024-04-29,P00004,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,EXERCISE OPTION 5 (POP: 30APR2024 TO 29MAY2024) - MEDICAL SCREENING SERVICES.
CBP,70B01C24C00000131,"MIAMI WIIPICA, LLC",24999222.44,2024-09-27,0,CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,THIS REQUIREMENT WAS FOR THE AWARD OF THE CHAMPLAIN DB PHASE 2 CONTRACT.
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,24654978.05,2024-03-08,P00002,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SCREENING SERVICES -MODIFICATION P00002 EXERCISE OPTION 3 (POP: 29FEB2024 TO 29MAR2024)
CBP,70B02C23F00000959,DAVENPORT AVIATION INC,24630323.34,2024-08-06,P00002,"AIRCRAFT, ROTARY WING",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,ORDER 3 LIGHT ENFORCEMENT HELICOPTERS (LEPS)
CBP,70B04C20F00001314,UNISSANT INC.,23837372.23,2024-09-11,P00013,"IT AND TELECOM - TELEPROCESSING, TIMESHARE, CLOUD COMPUTING, AND HIGH PERFORMANCE COMPUTING",COMPUTER SYSTEMS DESIGN SERVICES,OPTION YEAR
CBP,70B01C23F00000312,DEPLOYED RESOURCES LLC,23008360.42,2024-09-30,P00016,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","MODIFICATION TO EXTEND PERIOD OF PERFORMANCE AND INCORPORATE WAGE DECISION, AND STATEMENT OF WORK REVISION FOR LIGATURE RISK."
CBP,70B04C24C00000115,"LEIDOS, INC.",22037898.32,2024-09-12,0,"IT AND TELECOM - END USER: HELP DESK; TIER 1-2, WORKSPACE, PRINT, OUTPUT, PRODUCTIVITY TOOLS (LABOR)",ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,PREVENTATIVE AND CORRECTIVE MAINTENANCE OF RADIATION DETECTION EQUIPMENT (RDE) AND LARGE SCALE (LS) NON- INTRUSIVE INSPECTION (NII) EQUIPMENT
CBP,70B01C22F00000778,DEPLOYED RESOURCES LLC,22008040.0,2023-11-24,P00012,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,21884450.64,2024-08-29,P00008,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,EXERCISE OPTION 9 - MEDICAL SCREENING SERVICES (POP: 30AUG2024 TO 29SEP2024)
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,21309236.14,2024-07-30,P00007,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,MEDICAL SERVICES MODIFICATION TO EXERCISE OPTION 8 POP: 30JUL2024 TO 29AUG2024.
CBP,70B02C21C00000005,"AMENTUM SERVICES, INC.",20100000.0,2024-09-30,P00057,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT SERVICES - EXERCISING OF OPTION YEAR 2 AND ISSUANCE OF OPTION YEAR INCREMENTAL FUNDS.
CBP,70B01C24F00000529,DEPLOYED RESOURCES LLC,20023362.4,2024-09-20,P00003,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE
CBP,70B02C23C00000124,"SIERRA NEVADA COMPANY, LLC",19919416.35,2024-09-04,P00007,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,AIRCRAFT MANUFACTURING,EXERCISE OPTION PERIOD FOR SECOND AIRCRAFT INDUCTION
CBP,70B01C22F00000778,DEPLOYED RESOURCES LLC,19508040.0,2023-10-26,P00011,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE OPTION PERIOD
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,19489237.8,2024-07-10,P00006,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,"EXERCISE OPTION 7, MEDICAL SCREENING SERVICES-SOUTHWEST BORDER.  POP: 30JUNE2024 TO 29JULY2024"
CBP,70B01C24F00000354,DEPLOYED RESOURCES LLC,19487846.0,2024-09-09,P00005,ARCHITECT AND ENGINEERING- CONSTRUCTION: MISCELLANEOUS BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",MODIFICATION TO EXERCISE OPTION PERIODS 4 AND 5.
CBP,70B01C22F00000406,DEPLOYED RESOURCES LLC,19402849.71,2024-02-09,P00021,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",NORTH EAGLE PASS SOFT SIDE FACILITY EXERCISE OPTION
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,19318729.71,2024-03-25,P00027,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE
CBP,70B03C21F00001130,"LEIDOS, INC.",18986019.0,2024-09-24,P00006,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,"MODIFICATION TO ADD $18,986,019.00"
CBP,70B04C19F00000204,DEV TECHNOLOGY GROUP INC,18822258.19,2024-08-27,P00033,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,OTHER COMPUTER RELATED SERVICES,FUND APPROVED SURGE OPERATION AND MAINTENANCE REQUIREMENTS IN SUPPORT OF THE CARGO SYSTEMS PROGRAM DIRECTORATE.
CBP,70B01C23F00000312,DEPLOYED RESOURCES LLC,18511857.2,2023-11-09,P00004,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE OPTION PERIOD (11/13/2023 - 12/12/2023)
CBP,70B01C22F00000406,DEPLOYED RESOURCES LLC,18318907.47,2023-11-17,P00017,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",NORTH EAGLE PASS SOFT SIDE FACILITY 30-DAY OPTION
CBP,70B01C22F00000778,DEPLOYED RESOURCES LLC,18008040.0,2024-02-13,P00014,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE OPTION
CBP,70B02C22C00000016,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",17428959.59,2024-08-07,P00019,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,UAS OPERATION AND MAINTENANCE SERVICE OPTION 3 EXERCISED AND FUNDING
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,16884639.71,2024-04-24,P00030,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,16761881.71,2024-07-22,P00035,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE AN OPTION.
CBP,70B02C22C00000016,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",16661166.0,2024-07-02,P00018,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,UAS OPERATIONAL AND MAINTENANCE SUPPORT
CBP,70B01C22F00000721,DEPLOYED RESOURCES LLC,16565566.0,2024-02-12,P00017,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",TUCSON SOFT SIDE FACILITY OPTION 13
CBP,70B04C23F00000074,ACCENTURE FEDERAL SERVICES LLC,15605500.98,2024-07-25,P00016,IT AND TELECOM - DATA CENTER SUPPORT SERVICES (LABOR),COMPUTER SYSTEMS DESIGN SERVICES,DATA CENTER SUPPORT SERVICES
CBP,70B01C22F00000711,DEPLOYED RESOURCES LLC,15323966.0,2023-11-21,P00011,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",EXERCISE OPTION PERIOD 10.
CBP,70B01C22F00000778,DEPLOYED RESOURCES LLC,15008040.0,2024-03-22,P00015,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE
CBP,70B06C24F00000437,"CACI, INC. - FEDERAL",14905477.19,2024-09-30,P00002,SUPPORT- ADMINISTRATIVE: BACKGROUND INVESTIGATION,INVESTIGATION AND PERSONAL BACKGROUND CHECK SERVICES,EXERCISE OP2
CBP,70B04C20F00001359,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,14725313.66,2024-09-30,P00027,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,SURGE
CBP,70B01C22F00000711,DEPLOYED RESOURCES LLC,14636594.0,2024-05-02,P00017,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",MODIFICATION TO EXTEND THE TASK ORDER.
CBP,70B01C22F00000711,DEPLOYED RESOURCES LLC,14558094.0,2024-05-31,P00018,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",MODIFICATION TO EXTEND THE TASK ORDER.
CBP,70B01C22F00000711,DEPLOYED RESOURCES LLC,14558094.0,2024-06-30,P00019,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",MODIFICATION TO EXTEND THE TASK ORDER.
CBP,70B01C22F00000711,DEPLOYED RESOURCES LLC,14558094.0,2024-04-02,P00016,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",MODIFICATION TO EXTEND THE TASK ORDER 30 DAYS.
CBP,70B01C24F00000737,DEPLOYED RESOURCES LLC,14539805.74,2024-09-27,P00001,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",TUCSON SOFT SIDE FACILITY FUNDING
CBP,70B01C22F00000721,DEPLOYED RESOURCES LLC,14361536.0,2024-04-12,P00021,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",TUCSON SOFT SIDE FACILITY 30-DAY OPTION
CBP,70B01C22F00000721,DEPLOYED RESOURCES LLC,14338036.0,2024-07-10,P00025,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",TUCSON SOFT SIDE FACILITY 52.217-8 30-DAYS
