Agency,Award ID,Recipient Name,Federal Action Obligation,Action Date,Modification,Product/Service Description,NAICS Description,Transaction Description,Generated Award ID
CBP,70B01C25F00000986,BCCG A JOINT VENTURE,155106328.0,2025-09-15,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,DESIGN AND CONSTRUCTION OF NEW VERTICAL BARRIER AND POWER DISTRIBUTION,CONT_AWD_70B01C25F00000986_7014_70B01C23D00000009_7014
CBP,70B04C24F00000739,"LEIDOS, INC.",107602423.18,2025-09-18,P00007,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,"INCREASES CONTRACT VALUE BY $109,602,423.18 TO SUPPORT EXPANDED MISSION REQUIREMENTS. THE ADDITIONAL FUNDING COVERS CHANGES IN SCOPE NECESSARY TO MEET OPERATIONAL NEEDS BEYOND THE ORIGINAL QUOTE. THE CHANGES ARE INCORPORATED FOR CONTINUED PERFORMANCE",CONT_AWD_70B04C24F00000739_7014_70B04C20A00000008_7014
CBP,70B04C20F00001359,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,105848248.38,2025-08-27,P00037,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,OPTION YEAR 4,CONT_AWD_70B04C20F00001359_7014_47QTCK18D0001_4732
CBP,70B01C25F00000330,BCCG A JOINT VENTURE,96153947.0,2025-09-26,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,CONSTRUCT BORDER BARRIER,CONT_AWD_70B01C25F00000330_7014_70B01C23D00000009_7014
CBP,70B01C23F00001236,"SLSCO, LTD.",76002259.22,2025-09-16,P00007,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,ADD: THE DESIGN AND CONSTRUCTION OF 30-FOOT-TALL BOLLARD WITH INGROUND FOUNDATION AND SITE CIVIL WORK WITHIN U.S FISH AND WILDLIFE SERVICE (USFWS) LAND AND PROVIDE GFM TRANSPORT.,CONT_AWD_70B01C23F00001236_7014_70B01C23D00000012_7014
CBP,70B04C25F00000086,DEV TECHNOLOGY GROUP INC,72445694.11,2025-09-08,P00004,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,CUSTOM COMPUTER PROGRAMMING SERVICES,INCREASE CEILING AND TERM EXTENSION OF 9 MONTHS,CONT_AWD_70B04C25F00000086_7014_47QTCA19D00JT_4732
CBP,70B01C25F00000194,GRANITE CONSTRUCTION COMPANY,70285846.0,2025-03-14,0,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BORDER INFRASTRUCTURE-BARRIER GAPS DESIGN BUILD CONSTRUCTION,CONT_AWD_70B01C25F00000194_7014_70B01C23D00000011_7014
CBP,70B01C25F00000013,"ACTIVE DEPLOYMENT SYSTEMS, LLC",69561774.61,2024-11-07,0,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES),"THIS IS FOR THE CONTRACTOR TO PROVIDE ALL MATERIAL, SUPERVISION, LABOR, EQUIPMENT AND SERVICES TO PROVIDE A TURNKEY WRAP-AROUND FACILITIES AND SERVICES SOLUTION FOR THE OPERATION, AND REMOVAL OF TEMPORARY FACILITIES AT U.S.",CONT_AWD_70B01C25F00000013_7014_70RDAD23A00000014_7001
CBP,70B02C25F00000906,"SCIENCE AND ENGINEERING SERVICES, LLC",56989251.18,2025-09-25,0,"AIRCRAFT, FIXED WING",AIRCRAFT MANUFACTURING,"MULTIROLE ENFORCEMENT AIRCRAFT, TRAINING, SPARES,",CONT_AWD_70B02C25F00000906_7014_70B02C22D00000019_7014
CBP,70B01C25F00000007,"WORKWEAR OUTFITTERS, LLC",56789497.1,2025-01-23,P00004,"CLOTHING, SPECIAL PURPOSE",MEN'S AND BOYS' CLOTHING AND FURNISHINGS MERCHANT WHOLESALERS,UNIFORMS ALLOWANCE ACCOUNTS AND ACADEMY SERVICES. THIS MOD FUNDS THE ALLOWANCE ACCOUNTS FOR THE OPENING OF THE ORDERING WEB SITE FY25,CONT_AWD_70B01C25F00000007_7014_70B01C20D00000004_7014
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,56709630.6,2024-11-20,P00041,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE,CONT_AWD_70B01C23F00000067_7014_70RDAD21A00000012_7001
CBP,70B01C25F00000194,GRANITE CONSTRUCTION COMPANY,53577301.0,2025-07-03,P00003,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"DESIGN AND CONSTRUCTION OF NEW BARRIER WITHIN IN THE RIO GRANDE VALLEY, TX. THIS MOD EXERCISE OPTIONAL LINE ITEMS FOR DRAINAGE AND EROSION (COMPETED AT TIME OF AWARD).",CONT_AWD_70B01C25F00000194_7014_70B01C23D00000011_7014
CBP,70B02C25F00000926,"ANDURIL INDUSTRIES, INC.",50734262.78,2025-09-19,0,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,COMPUTER SYSTEMS DESIGN SERVICES,AWARD,CONT_AWD_70B02C25F00000926_7014_70B02C20D00000019_7014
CBP,70B03C20F00000453,SMITHS DETECTION INC.,49060856.0,2025-09-29,P00019,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,ADDITIONAL FUNDING FOR SITE RELATED WORK SUCH AS CIVIL WORKS AND INSTALLATION.,CONT_AWD_70B03C20F00000453_7014_70B03C20D00000014_7014
CBP,70B02C25F00000662,"ANDURIL INDUSTRIES, INC.",44002097.87,2025-09-05,0,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,COMPUTER SYSTEMS DESIGN SERVICES,O&S FOR OPTION YEAR 5,CONT_AWD_70B02C25F00000662_7014_70B02C20D00000019_7014
CBP,70B04C24C00000102,RAPISCAN SYSTEMS INC,43002923.13,2025-05-21,P00009,MAINT/REPAIR/REBUILD OF EQUIPMENT- MAINTENANCE AND REPAIR SHOP EQUIPMENT,ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,"THE MODIFICATION IS TO ADD THE FUNDING TO THE OPTION PERIOD 1 SERVICES, UPDATE THE PWS AND THE EQUIPMENT LIST.",CONT_AWD_70B04C24C00000102_7014_-NONE-_-NONE-
CBP,70B02C25F00001144,CHARTIS CONSULTING CORPORATION,42983345.0,2025-09-29,0,FIBER OPTIC CABLES,ENGINEERING SERVICES,THE CONTRACTOR SHALL PROVIDE LINEAR GROUND DETECTION SYSTEM (LGDS) FIBER OPTIC CABLE INSTALLATION SUPPORT ALONG THE U.S. BORDER.,CONT_AWD_70B02C25F00001144_7014_70B04C19D00000044_7014
CBP,70B03C24F00001029,FISHER SAND & GRAVEL CO,42170796.0,2025-09-30,P00006,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,ADD DESIGN AND CONSTRUCT BORDER BARRIER.,CONT_AWD_70B03C24F00001029_7014_70B01C23D00000010_7014
CBP,70B02C25F00000422,"ANDURIL INDUSTRIES, INC.",41865735.56,2025-08-01,0,CONSTRUCTION OF ELECTRONIC AND COMMUNICATIONS FACILITIES,COMPUTER SYSTEMS DESIGN SERVICES,S1 APPROVED AWARD FOR DELIVERY ORDER 18,CONT_AWD_70B02C25F00000422_7014_70B02C20D00000019_7014
CBP,70B04C25F00001148,"NOVILO TECHNOLOGY SOLUTIONS, LLC",41259188.27,2025-09-27,0,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),OTHER COMPUTER RELATED SERVICES,AUTOMATED COMMERCIAL ENVIRONMENT AND THE ADVANCED TRADE ANALYTICS PROGRAM ENHANCEMENTS.,CONT_AWD_70B04C25F00001148_7014_70B04C23A00000052_7014
CBP,70B04C25F00000247,"V3GATE, LLC",41000515.99,2025-03-31,0,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,BRAND NAME IBM ELA FOR HARDWARE AND SOFTWARE MAINTENANCE AND SUPPORT,CONT_AWD_70B04C25F00000247_7014_NNG15SD27B_8000
CBP,HSBP1013C00042,GENERAL DYNAMICS ONE SOURCE LLC,40747972.0,2025-09-30,P00106,VIDEO RECORDING AND REPRODUCING EQUIPMENT,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE CONTRACT PERIOD OF PERFORMANCE BY 12-MONTHS.,CONT_AWD_HSBP1013C00042_7014_-NONE-_-NONE-
CBP,70B04C24F00000413,"FOUR POINTS TECHNOLOGY, L.L.C.",38992767.84,2025-09-29,P00015,IT AND TELECOM - DATA CENTER PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,THE PURPOSE OF THIS MODIFICATION IS TO EXERCISE FAR 52.217-7 TO  INCREASE AMAZON WEB SERVICES OPTIONAL UNITS WITHIN THE SCOPE OF THE DELIVERY ORDER AND ADD FUNDING.,CONT_AWD_70B04C24F00000413_7014_NNG15SD22B_8000
CBP,70B02C21C00000005,"AMENTUM SERVICES, INC.",38991744.33,2025-09-29,P00070,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT SERVICES - EXERCISING OF OPTION YEAR 4 AND ISSUANCE OF OPTION YEAR INCREMENTAL FUNDS.,CONT_AWD_70B02C21C00000005_7014_-NONE-_-NONE-
CBP,70B04C25F00000214,DELL FEDERAL SYSTEMS L.P,38861976.0,2025-05-02,0,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),SOFTWARE PUBLISHERS,MICROSOFT ENTERPRISE LICENSES,CONT_AWD_70B04C25F00000214_7014_70RTAC24A00000001_7001
CBP,70B04C24F00000413,"FOUR POINTS TECHNOLOGY, L.L.C.",36802917.48,2025-07-03,P00012,IT AND TELECOM - DATA CENTER PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,EXERCISE OP1 IAW FAR 52.217-9 AND EXERCISE BASE CLIN 1002 IAW FAR 52.217-7,CONT_AWD_70B04C24F00000413_7014_NNG15SD22B_8000
CBP,70B04C20F00001357,"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",36696248.0,2025-09-12,P00020,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,OPTION YEAR 4,CONT_AWD_70B04C20F00001357_7014_47QTCK18D0031_4732
CBP,70B02C21C00000005,"AMENTUM SERVICES, INC.",33409402.4,2025-07-02,P00066,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT SERVICES - ISSUANCE OF OPTION YEAR INCREMENTAL FUNDS & DEOBLIGATION OF BASE YEAR FUNDS.,CONT_AWD_70B02C21C00000005_7014_-NONE-_-NONE-
CBP,70B04C25F00000656,"FCN, INC.",32461955.77,2025-08-28,0,IT AND TELECOM - DATA CENTER PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,RENEWAL OF ORACLE HARDWARE AND SOFTWARE MAINTENANCE AND SUPPORT,CONT_AWD_70B04C25F00000656_7014_NNG15SC71B_8000
CBP,70B03C24F00001029,FISHER SAND & GRAVEL CO,31264193.0,2025-08-04,P00005,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"PROVIDE FULL DESIGN, MATERIALS AND CONSTRUCTION NEEDED TO REALIGN THE CURRENT JACUMBA VERTICAL BARRIER ALIGNMENT TO BE ENTIRELY WITHIN THE ROOSEVELT RESERVATION BETWEEN EASTERN END OF THE ALIGNMENT AND 32.606975, -116.252614.",CONT_AWD_70B03C24F00001029_7014_70B01C23D00000010_7014
CBP,70B06C24F00000767,"STEAMPUNK, INC.",30343618.64,2025-09-23,P00009,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),COMPUTER SYSTEMS DESIGN SERVICES,MODIFICATION TO EXERCISE OPTION YEAR 1.,CONT_AWD_70B06C24F00000767_7014_75N98120D00251_7529
CBP,70B02C25F00000834,SINTELA INC,29877560.32,2025-09-26,0,FIBER OPTIC CABLES,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,LINEAR DETECTION GROUND SYSTEM (LGDS) CONTRACTOR MAINTENANCE LOGISTICS SUPPORT (CMLS),CONT_AWD_70B02C25F00000834_7014_70B02C24D00000029_7014
CBP,70B06C25F00000764,"MARCOM GROUP, INC",29559000.0,2025-09-25,0,SUPPORT- MANAGEMENT: ADVERTISING,PUBLIC RELATIONS AGENCIES,THIS TASK ORDER IS FOR MARKETING AND ADVERTISING RECRUITMENT SERVICES FOR LAW ENFORCEMENT OFFICER PERSONNEL FOR CBP'S OFFICE OF HUMAN RESOURCES MANAGEMENT'S NATIONAL RECRUITMENT DIVISION.,CONT_AWD_70B06C25F00000764_7014_70B06C24A00000037_7014
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,29319352.4,2025-01-29,P00044,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION PERIOD 20 _ 1_29_25 - 2_27_25,CONT_AWD_70B01C23F00000067_7014_70RDAD21A00000012_7001
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,29297561.2,2024-12-20,P00042,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","EXERCISE OPTION EL PASO SSF, OPTION PERIOD 21: 12/30/24 - 1/28/25",CONT_AWD_70B01C23F00000067_7014_70RDAD21A00000012_7001
CBP,70B04C24C00000115,"LEIDOS, INC.",28701764.32,2025-08-19,P00005,"IT AND TELECOM - END USER: HELP DESK; TIER 1-2, WORKSPACE, PRINT, OUTPUT, PRODUCTIVITY TOOLS (LABOR)",ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,FUNDING ONLY ACTION,CONT_AWD_70B04C24C00000115_7014_-NONE-_-NONE-
CBP,70B01C23F00000067,DEPLOYED RESOURCES LLC,25958527.4,2025-02-27,P00046,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE FOR EL PASO OPTION PERIOD 21_ 2_28_25 - 3_29_25,CONT_AWD_70B01C23F00000067_7014_70RDAD21A00000012_7001
CBP,70B03C21F00001132,RAPISCAN SYSTEMS INC,25932777.0,2025-03-31,P00013,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,"THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDING IN THE AMOUNT OF $25,932,777 FOR MEP SYSTEMS AT THE ANZALDUAS/MCALLEN, TX AND DONNA TX.",CONT_AWD_70B03C21F00001132_7014_70B03C21D00000003_7014
CBP,70B02C25F00000884,PILATUS BUSINESS AIRCRAFT LTD,25832717.8,2025-09-25,0,"AIRCRAFT, FIXED WING",AIRCRAFT MANUFACTURING,PC-12 AIRCRAFT FOR CBP AIR AND MARINE OPERATIONS,CONT_AWD_70B02C25F00000884_7014_15F06722D0000896_1549
CBP,70B06C25F00000764,"MARCOM GROUP, INC",25432225.39,2025-09-29,P00001,SUPPORT- MANAGEMENT: ADVERTISING,PUBLIC RELATIONS AGENCIES,MOD P00001 EXERCISES THE OPTION SURGE LINE ITEM UNDER FAR 52.217-7 FOR MARKETING AND ADVERTISING SERVICES IN SUPPORT OF RECRUITING LAW ENFORCEMENT OFFICER APPLICANTS.,CONT_AWD_70B06C25F00000764_7014_70B06C24A00000037_7014
CBP,70B01C24F00000327,DEPLOYED RESOURCES LLC,25274764.0,2024-11-27,P00002,OPERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",MODIFICATION TO EXERCISE OPTION 2.,CONT_AWD_70B01C24F00000327_7014_70RDAD21A00000012_7001
CBP,70B03C20F00000452,RAPISCAN SYSTEMS INC,23509654.0,2025-03-31,P00012,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,"THE PURPOSE OF MODIFICATION P00012 IS TO ADD FUNDING IN THE AMOUNT OF $23,509,654.00 FOR HE RAIL SYSTEMS AT BLAINE, WA AND INTERNATIONAL FALLS, MN LOCATIONS AND TO RE-ALLOCATE LINE ITEMS 50,60,70, 80 TO CIVIL WORKS AND INSTALLATION.",CONT_AWD_70B03C20F00000452_7014_70B03C20D00000013_7014
CBP,70B04C25F00001074,"LEIDOS, INC.",23268553.76,2025-09-22,0,IT AND TELECOM - SERVICE DELIVERY MANAGEMENT (HARDWARE AND PERPETUAL LICENSE SOFTWARE),COMPUTER SYSTEMS DESIGN SERVICES,CYBER SECURITY OPERATIONS CENTER,CONT_AWD_70B04C25F00001074_7014_47QTCK18D0008_4732
CBP,70B01C25F00000194,GRANITE CONSTRUCTION COMPANY,23071624.0,2025-04-30,P00001,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"EXERCISES OPTIONAL LINE-ITEMS AWARDING THE DESIGN & CONSTRUCTION OF RIO GRANDE VALLEY-2 SEGMENT C-1 FOR NEW VERTICAL BARRIER, GAPS AND DRAINAGE AND EROSION CONTROL.",CONT_AWD_70B01C25F00000194_7014_70B01C23D00000011_7014
CBP,70B01C24F00000529,DEPLOYED RESOURCES LLC,22823362.4,2024-11-19,P00004,LEASE OR RENTAL OF EQUIPMENT- PREFABRICATED STRUCTURES AND SCAFFOLDING,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",OPTION EXERCISE OF BRIDGE CONTRACT.,CONT_AWD_70B01C24F00000529_7014_70RDAD21A00000012_7001
CBP,70B03C21F00001132,RAPISCAN SYSTEMS INC,22765847.0,2025-09-18,P00014,HAZARD-DETECTING INSTRUMENTS AND APPARATUS,IRRADIATION APPARATUS MANUFACTURING,THE PURPOSE OF THIS MODIFICATION IS TO ADD ADDITIONAL FUNDING FOR CIVIL WORKS AND INSTALLATION.,CONT_AWD_70B03C21F00001132_7014_70B03C21D00000003_7014
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,22320533.04,2025-01-24,P00015,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,"THE OBLIGATED AMOUNT OF TASK ORDER 70B03C24F00000046 INCREASED BY $22,320,533.04 FROM $331,917,547.26 TO $354,238,080.30.",CONT_AWD_70B03C24F00000046_7014_36F79722D0185_3600
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,22320533.04,2024-12-20,P00014,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,"EXERCISE OPTION 13 (IAW FAR 52.217-8) - MODIFICATION P00014 THE OBLIGATED AMOUNT INCREASED BY $22,320,533.04 FROM $309,597,014.22 TO $331,917,547.26",CONT_AWD_70B03C24F00000046_7014_36F79722D0185_3600
CBP,70B03C24F00000046,LOYAL SOURCE GOVERNMENT SERVICES LLC,22320533.04,2024-11-18,P00013,MEDICAL- EVALUATION/SCREENING,TEMPORARY HELP SERVICES,"MODIFICATION P00013 EXERCISE OPTION 12  OBLIGATED TASK ORDER VALUE HAS INCREASED FROM $287,276,481.18 BY $22,320,533.04 TO $309,597,014.22.",CONT_AWD_70B03C24F00000046_7014_36F79722D0185_3600
CBP,70B04C20F00001359,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,22310123.15,2025-09-25,P00041,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,SURGE,CONT_AWD_70B04C20F00001359_7014_47QTCK18D0001_4732
CBP,70B02C23C00000124,"SIERRA NEVADA COMPANY, LLC",20838837.61,2025-09-08,P00012,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,AIRCRAFT MANUFACTURING,EXERCISE OPTION PERIOD FOR DHC-8 MODIFICATION SERVICES,CONT_AWD_70B02C23C00000124_7014_-NONE-_-NONE-
CBP,70B02C21C00000005,"AMENTUM SERVICES, INC.",19725678.0,2025-04-03,P00064,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT SERVICES - ISSUANCE OF OPTION YEAR INCREMENTAL FUNDS AND REVISION TO THE STATEMENT OF WORK,CONT_AWD_70B02C21C00000005_7014_-NONE-_-NONE-
CBP,70B03C25F00000589,"DIGNARI, LLC",19638816.13,2025-09-04,0,IT AND TELECOM - IT MANAGEMENT SUPPORT SERVICES (LABOR),COMPUTER FACILITIES MANAGEMENT SERVICES,"THIS ORDER IS TO ASSIST IN IMPLEMENTING ADVANCED SEAMLESS TRAVEL CAPABILITIES. THE CONTRACTOR WILL PROVIDE SUPPORT IN PROGRAM MANAGEMENT, OPERATIONS, ENGINEERING, TECHNICAL ASSISTANCE, AND THE DEVELOPMENT OF DATABASES AND REPORTS.",CONT_AWD_70B03C25F00000589_7014_70RDAD21A00000010_7001
CBP,70B01C25F00000194,GRANITE CONSTRUCTION COMPANY,19605591.0,2025-09-02,P00004,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,"EXERCISE OPTIONAL LINE ITEMS ADDING 1.4 MILES OF VERTICAL BORDER BARRIER IN THE RIO GRANDE VALLEY, TX.",CONT_AWD_70B01C25F00000194_7014_70B01C23D00000011_7014
CBP,70B06C24F00000950,"LIFECARE, INC",19526400.0,2025-09-22,P00004,SOCIAL- OTHER,OTHER INDIVIDUAL AND FAMILY SERVICES,"EXERCISE OF OPTION PERIOD ONE (1) CLINS 1042 THROUGH 1143 FOR BACKUP CARE VISITS (BUC) IN SUPPORT OF ENTERPRISE SERVICES (ES), WORKFORCE CARE DIRECTORATE (WCD).",CONT_AWD_70B06C24F00000950_7014_47QSEA23D003J_4732
